#N		S:1-A:1		S:1-A:2		S:1-A:3		S:1-A:4		S:1-A:5		S:1-A:6		S:1-A:7		S:2-A:1		S:2-A:2		S:2-A:3		S:2-A:4		S:2-A:5		S:2-A:6		S:2-A:7		S:3-A:1		S:3-A:2		S:3-A:3		S:3-A:4		S:3-A:5		S:3-A:6		S:3-A:7		S:4-A:1		S:4-A:2		S:4-A:3		S:4-A:4		S:4-A:5		S:4-A:6		S:4-A:7		S:5-A:1		S:5-A:2		S:5-A:3		S:5-A:4		S:5-A:5		S:5-A:6		S:5-A:7		S:6-A:1		S:6-A:2		S:6-A:3		S:6-A:4		S:6-A:5		S:6-A:6		S:6-A:7		
100		0.0089382		0.000368		0.000362		0.0117406		0.0056744		0.006258		0.001314		0.0120168		0.0183266		0.0062362		0.01051		0.0065822		0.0101106		0.002286		0.0145546		0.026697		0.0038684		0.0157524		0.0086122		0.0111502		0.0064462		0.0120422		0.0075924		0.001574		0.0115484		0.0111204		0.0063322		0.0038522		0.0133228		0.0110042		0.0022202		0.0086766		0.0055422		0.0056324		0.0043562		0.0095102		0.0106624		0.002248		0.0089444		0.005426		0.0047442		0.004742		
136		0.0104684		0.00023		0.000228		0.0102482		0.0060302		0.0065642		0.001954		0.0150322		0.0324092		0.011762		0.0245468		0.008598		0.0160306		0.0028802		0.0227068		0.0372992		0.0049724		0.0203568		0.0109704		0.0121022		0.0087902		0.0197126		0.014262		0.0024602		0.014923		0.0081202		0.0097842		0.006404		0.0206086		0.0168642		0.002756		0.0120006		0.0073662		0.0073384		0.006298		0.015748		0.0302928		0.0047502		0.0673382		0.0105244		0.0087842		0.0093222		
172		0.028887		0.000534		0.00052		0.0215868		0.0107946		0.0091422		0.00285		0.027327		0.0578398		0.0178126		0.0203848		0.0116726		0.010028		0.004906		0.0382494		0.0742926		0.0095304		0.021963		0.0120204		0.0110382		0.0108026		0.0210168		0.0166304		0.003156		0.0185108		0.0099064		0.0139786		0.0071284		0.0223748		0.0266988		0.0038082		0.0151442		0.0094864		0.0081664		0.0086262		0.033479		0.0346314		0.005302		0.016583		0.0102204		0.0090784		0.0095124		
208		0.0227426		0.000324		0.000324		0.015244		0.0090902		0.0099844		0.001746		0.025595		0.058156		0.0167122		0.0152224		0.0107484		0.0104704		0.0030602		0.033513		0.0812726		0.0094882		0.0229006		0.0144604		0.0135048		0.0139642		0.033719		0.028203		0.0037142		0.019623		0.0106184		0.0112924		0.0087224		0.030319		0.0428836		0.0050902		0.0182428		0.0116026		0.0099422		0.0111644		0.0316414		0.0505638		0.006588		0.0235952		0.0124986		0.0103304		0.0119704		
244		0.030607		0.00036		0.000376		0.017591		0.0108944		0.0114524		0.002044		0.034233		0.0809128		0.0223448		0.0175788		0.0123326		0.0122262		0.0039942		0.0437454		0.106932		0.0138468		0.026817		0.0173084		0.0121764		0.0161586		0.0388392		0.0581862		0.0045042		0.0193368		0.0125264		0.0129764		0.0118522		0.0398614		0.0602584		0.0076002		0.0209766		0.0137648		0.0113644		0.0137144		0.0413814		0.0784326		0.0085862		0.0226826		0.014818		0.0127686		0.0148642		
280		0.0397094		0.000414		0.000408		0.0206146		0.0125702		0.0147026		0.002624		0.0418434		0.107441		0.028865		0.0205986		0.01416		0.014011		0.0056782		0.055114		0.140347		0.0177844		0.031769		0.019969		0.0140702		0.019059		0.0486174		0.0560578		0.0052002		0.0232328		0.014422		0.0140844		0.0133266		0.0510738		0.0772504		0.0082864		0.0252428		0.0158282		0.013413		0.015915		0.0526998		0.092295		0.0115244		0.029913		0.017141		0.0134866		0.0171024		
316		0.0498418		0.000452		0.00045		0.0227308		0.014229		0.0147884		0.002956		0.0527998		0.137749		0.0360854		0.0229248		0.016199		0.016427		0.00615		0.0724284		0.176142		0.025617		0.036329		0.0227008		0.0159546		0.022739		0.060294		0.0712766		0.005526		0.025711		0.017091		0.015667		0.016021		0.062732		0.0988056		0.0102404		0.0282948		0.0180006		0.0149602		0.0187902		0.0703364		0.1214		0.0143228		0.030573		0.0193308		0.015249		0.0195466		
352		0.061452		0.000492		0.000498		0.026059		0.015796		0.017328		0.00327		0.0631722		0.171952		0.04412		0.025407		0.01811		0.017371		0.0059982		0.0830186		0.219167		0.025789		0.0409134		0.0256506		0.0181306		0.0264088		0.0731786		0.108236		0.0080342		0.029097		0.018712		0.016795		0.025817		0.152891		0.131805		0.0124066		0.0430854		0.0215508		0.021001		0.0205426		0.0783526		0.147397		0.0153384		0.0340932		0.0220508		0.016314		0.0232768		
388		0.100193		0.0006702		0.000986		0.028515		0.0208728		0.025301		0.003604		0.075543		0.22725		0.0537338		0.029171		0.0200906		0.0215626		0.0065282		0.0981214		0.283188		0.032169		0.0447636		0.028757		0.0229446		0.0308614		0.087293		0.11098		0.0093524		0.031567		0.0215928		0.018132		0.019905		0.0977334		0.156652		0.015254		0.0350632		0.0230068		0.0195942		0.0245088		0.0916654		0.183662		0.0215368		0.0383236		0.0245368		0.020127		0.0264388		
424		0.087269		0.000582		0.00058		0.031501		0.0190206		0.0195864		0.003924		0.089203		0.255339		0.063736		0.031877		0.0219388		0.0238868		0.0071162		0.121336		0.307875		0.0363792		0.0494276		0.0341634		0.0213008		0.031837		0.101845		0.151247		0.0107204		0.0352812		0.0239268		0.0202446		0.0226088		0.108655		0.186372		0.017672		0.0452194		0.0273212		0.021397		0.025793		0.118986		0.209293		0.0223786		0.0417794		0.028911		0.0203404		0.027933		
