N	Inserction Sort	Bubble Sort	Selection Sort	Merge Sort	Quick Sort	Radix Sort	Shell Sort	Inserction Sort	Bubble Sort	Selection Sort	Merge Sort	Quick Sort	Radix Sort	Shell Sort	Inserction Sort	Bubble Sort	Selection Sort	Merge Sort	Quick Sort	Radix Sort	Shell Sort	Inserction Sort	Bubble Sort	Selection Sort	Merge Sort	Quick Sort	Radix Sort	Shell Sort	Inserction Sort	Bubble Sort	Selection Sort	Merge Sort	Quick Sort	Radix Sort	Shell Sort	Inserction Sort	Bubble Sort	Selection Sort	Merge Sort	Quick Sort	Radix Sort	Shell Sort
60040	1263.8	0.0394692	0.0368052	31.802	205.429	331.224	0.650385	1045.46	3704.1	839.965	300.846	213.305	362.034	12.763	1196.01	5474.75	405.139	592.648	399.644	362.494	634.387	1203.9	1815.4	821.751	510.944	376.643	342.956	769.966	1256.22	2479.12	165.63	475.955	360.041	38.419	776.156	1234.9	3145.73	221.657	555.595	39.638	474.356	73.913
64036	1439.83	0.0367052	0.0443396	289.682	207.348	388.412	0.758365	1220.07	4154.66	986.357	326.386	227.127	344.841	134.573	1433.19	6475.19	511.755	615.934	487.869	391.157	741.423	1455.4	2187	964.134	443.051	328.603	410.713	766.881	1473.06	2799.4	151.044	433.156	300.711	43.491	719.949	1464.38	3601.72	259.3	573.115	424.891	404.784	793.164
68032	1666.83	0.0473634	0.0445914	395.129	292.043	559.742	0.975842	1417.86	4706.13	976.731	369.247	260.044	42.355	15.115	1537.31	6632.04	508.826	67.261	470.657	378.972	765.436	1499.83	2292.64	940.155	410.723	307.293	395.175	806.006	1467.03	3027.75	171.44	451.713	340.344	396.252	694.363	1551.94	3726.98	242.701	510.751	369.171	45.032	69.591
72028	1672.05	0.0383592	0.0373532	348.312	254.393	444.803	100.401	1481.11	4842.97	1204.11	393.372	28.041	486.557	1.838	1660.79	7556.14	568.618	737.825	486.639	549.404	793.457	1650.83	2487.3	101.138	445.822	340.887	371.274	712.184	1643.51	3351.25	207.443	726.828	382.327	456.152	741.477	1643.47	4193.52	272.4	54.964	377.155	407.805	871.223
76024	1826.75	0.0399254	0.0396174	396.832	256.272	434.931	0.877568	1637.09	5393.93	1225.65	415.499	27.575	433.139	163.014	1983.03	8472.42	607.752	797.083	533.232	50.072	829.083	1896.24	2825.91	107.786	547.196	349.647	397.227	720.863	1824.41	3753.38	211.039	540.612	368.462	435.919	863.933	1824.91	4687.85	309.16	576.088	402.645	475.535	790.069
80020	2046.47	0.0424276	0.0415312	394.042	275.519	549.089	118.949	1825.65	6070.62	1373.45	425.315	293.257	567.964	195.021	2061.56	9398.92	690.648	831.364	543.122	479.677	10.027	2020.04	3182.11	119.348	540.123	348.906	645.524	766.019	1998.73	4215.98	232.188	552.361	395.988	509.514	800.544	2030.29	5273.13	337.809	624.942	432.564	456.205	865.883
84016	2354.02	0.0447216	0.0436498	417.025	276.794	480.441	130.457	2014.09	6506.97	1568.71	431.244	299.884	600.328	18.599	2194.46	10326.7	756.423	923.756	585.721	648.188	979.692	2311.52	3529.21	127.392	555.215	392.179	610.181	816.426	2265.63	4874.67	248.853	637.495	450.938	493.418	859.849	2267.69	5870.89	358.324	633.019	457.185	615.661	898.497
88012	2439.22	0.0678502	0.067454	451.128	288.243	575.774	102.768	2200.71	7245.43	1675.66	482.369	362.893	495.108	223.309	2446.41	11528.7	823.426	926.578	609.349	662.393	102.395	2512.41	3884.37	136.903	536.819	384.605	525.266	888.067	2437.13	5216.69	267.6	60.535	466.439	482.099	972.168	2464.05	6571.07	397.284	675.023	472.571	642.342	960.921
92008	2678.52	0.0722886	0.0721906	46.818	312.364	641.052	12.337	2606.38	8782.31	2015.1	535.091	357.392	513.069	258.675	2955.87	13341	978.956	136.246	900.149	663.397	144.881	3114	6986.32	186.04	687.647	483.208	548.351	105.375	3097.18	6642.04	308.544	667.887	525.571	745.058	113.545	3093.13	8558.76	506.224	99.885	662.011	782.472	145.482
96004	3475.07	0.056186	0.0786824	820.501	42.361	616.616	122.228	3109.05	10215.2	2361.84	588.875	376.721	688.131	331.086	3236	15123.4	1063.3	10.013	691.323	600.777	124.497	3289.84	5205.22	172.572	700.548	431.385	706.255	107.659	3357.32	7551.26	321.711	753.298	537.743	761.179	128.671	2984.59	9301.42	467.263	730.965	518.839	678.806	107.124
